Neighborhood,Price,Sqft,Pricepsqft
san mateo,2225,740,3.006756757
san jose downtown,2371,852,2.78286385
san jose west,2399,1060,2.263207547
marina - cow hollow,4995,,
SOMA - south beach,4745,1309,3.624904507
brentwood - oakley,1595,1169,1.364414029
vallejo - benicia,1454,826,1.760290557
fairfield - vacaville,1800,1500,1.2
kentfield - ross,8200,,
santa rosa,1749,921,1.899022801
menlo park,2833,810,3.497530864
milpitas,2905,1128,2.57535461
san jose north,2759,1044,2.642720307
campbell,1525,450,3.388888889
russian hill,7080,,
nob hill,2650,,
dublin - pleasanton - livermore,2079,887,2.343855693
dublin - pleasanton - livermore,2195,1231,1.783103168
emeryville,3182,1036,3.071428571
santa rosa,1639,,
greenbrae,2650,954,2.777777778
san rafael,4400,1650,2.666666667
nob hill,3700,,
nob hill,3200,,
dublin - pleasanton - livermore,3800,2492,1.524879615
berkeley,2850,,
mill valley,4700,1628,2.886977887
sausalito,3000,971,3.089598352
sausalito,3300,1225,2.693877551
noe valley,3449,,
downtown - civic - van ness,2149,,
novato,2250,892,2.522421525
201 Avian Dr.,1030,700,1.471428571
santa rosa,1175,615,1.910569106
healdsburg - windsor,1450,,
healdsburg - windsor,800,,
